Commodity,Geolocation,Annual 1994,Annual 1995,Annual 1996,Annual 1997,Annual 1998,Annual 1999,Annual 2000,Annual 2001,Annual 2002,Annual 2003,Annual 2004,Annual 2005,Annual 2006,Annual 2007,Annual 2008,Annual 2009,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018
Rice,....Ilocos Norte,36.702509,41.081243,48.458781,48.74552,51.666667,52.753883,56.320191,57.359618,58.805257,61.063321,62.544803,68.984468,71.678614,71.308244,92.473118,98.0227,95.280765,95.555556,100,102.4,113,116.6,118.4,118.3,129.2
Rice,....Ilocos Sur,37.914961,41.433606,53.979081,51.801955,54.058663,53.711915,54.337199,55.144384,56.89518,59.060937,59.55548,65.234197,68.20714,69.167804,87.806958,94.525921,93.451569,95.668486,100,103.3,121.6,125.2,122.8,122,129.2
Rice,....La Union,48.4375,54.630422,65.396689,65.011416,66.466895,64.847317,65.296804,72.174658,72.716895,73.573059,73.951199,80.465183,85.644977,85.880422,90.482306,98.872717,97.474315,99.300799,100,102.2,114.8,115.9,109.4,116.3,126.6
Rice,....Pangasinan,40.905335,44.251653,50.867564,54.054533,54.892587,59.200897,59.425165,60.705855,61.585222,61.065864,62.092776,68.118508,70.845137,73.382908,90.515817,97.975685,100.035411,101.180359,100,103.7,116.4,113.9,110.5,112.1,125.1
Rice,..Region II (Cagayan Valley),36.729645,40.980657,50.410481,49.263383,51.293297,53.132029,55.364372,57.557355,58.631354,59.429825,59.081197,64.018219,67.498875,68.938372,84.536662,92.611336,95.636527,98.51552,100,102.3,116.1,116.6,115.9,117.4,123.5
Rice,....Batanes,37.010444,42.205178,46.127067,49.042646,52.551131,57.191036,52.610966,54.35705,52.545692,52.774151,53.258268,65.926893,65.29047,64.849869,73.99913,80.629896,83.648825,89.784595,100,100.3,112.8,120.5,120.3,119.8,121.9
Rice,....Cagayan,36.809045,39.955731,50.460637,51.034937,52.53051,54.379038,58.303422,62.784159,62.712371,63.549892,63.980617,68.311797,71.81742,74.401771,93.108399,104.349127,105.635319,106.287389,100,100.3,115.6,111.9,110.1,114.5,124.8
Rice,....Isabela,38.194906,43.24474,52.225914,50.116279,52.475083,55.077519,56.92691,57.131783,58.947951,59.490587,57.619048,62.929125,66.456257,66.62237,79.06423,84.296788,88.953488,92.297896,100,103.6,116.8,121.4,122.7,123.2,125.5
Rice,....Nueva Vizcaya,33.159613,36.991998,47.109918,44.898926,46.530849,46.436092,48.094336,50.605391,52.458412,52.842704,55.05896,60.981259,63.176458,65.640135,83.717625,93.635502,96.136029,100.031586,100,102.5,113.6,111.3,106.9,105.8,114.6
Rice,....Quirino,33.672087,38.675214,45.043777,43.834688,46.91995,47.27955,45.382531,49.358974,49.551803,52.923702,53.861789,56.702105,62.528664,65.264749,82.697519,90.89014,92.312904,100.859912,100,103.6,120.6,118.2,116.3,115.1,119.4
Rice,..Region III (Central Luzon),38.763862,44.444444,53.049576,52.130898,54.435747,57.170037,57.604914,57.931072,58.616003,59.578169,60.366384,62.731028,65.226136,67.748424,84.420526,93.514895,96.2818,101.750381,100,104,118.7,120.8,119.1,119.3,125.6
Rice,....Bataan,40.072952,43.2211,52.289562,52.340067,54.203143,56.380471,58.181818,58.529742,59.567901,60.875421,60.723906,63.75982,67.340067,69.309764,87.233446,95.084175,99.859708,102.542088,100,104,111.5,112.1,112.1,114.7,119.3
Rice,....Bulacan,41.782892,50.098791,62.575546,58.926081,59.390981,60.332404,61.854951,62.418642,63.493724,65.364947,68.003254,68.351929,69.752441,72.129242,89.098094,101.807299,98.396095,98.035797,100,108.9,125.9,129.3,124,122.9,132.4
Rice,....Nueva Ecija,36.945321,40.573081,44.369085,47.912723,49.879075,57.628812,55.646688,52.754995,52.3449,53.417455,54.631966,57.218717,63.086225,66.056782,81.59306,93.554154,98.312303,104.789695,100,101.1,114.1,114.1,114.3,114.7,117.5
Rice,....Pampanga,33.883553,39.985994,50.465186,48.904562,51.595638,51.965786,53.491397,56.157463,57.072829,56.277511,56.347539,58.363345,60.02401,61.954782,78.686475,85.554222,90.586234,103.031212,100,101.2,115.4,118.2,117.5,119.8,123.6
Rice,....Tarlac,43.618361,49.410485,57.486264,54.281136,60.25641,62.293956,62.070742,61.921932,63.01511,65.27587,64.033883,70.220925,68.669872,73.008242,90.453297,94.728709,96.308379,102.054716,100,102.8,118,119.9,120.9,118.3,127.6
Rice,....Zambales,41.68379,47.528539,53.892694,52.288813,53.053653,56.900685,58.236301,61.621005,62.574201,63.344749,62.842466,64.794521,68.504566,68.978311,88.498858,94.212329,100.833333,99.200913,100,102.7,118.5,121.3,119.4,120.1,127.6
Rice,....Aurora,41.967016,45.139799,51.938619,50.387724,55.144168,52.288117,52.320882,52.877894,54.417868,57.006335,59.927916,61.937527,65.53626,67.584098,76.774792,84.436435,94.003932,96.068152,100,106.9,126.2,126.4,124,123.4,127.7
Rice,..Region IV-A (CALABARZON),37.305892,42.831312,51.217826,49.824505,53.520528,56.78579,57.923846,58.179111,58.982131,59.593703,59.73729,61.247607,63.821527,65.890236,83.099341,91.533716,95.62859,99.319294,100,103.7,115.5,116.8,116.2,118.4,123.2
Rice,....Batangas,37.131631,40.9463,52.057411,46.692862,51.500764,58.88998,60.712726,61.482209,63.812486,61.438551,61.967911,63.053918,65.47697,67.970967,88.217638,95.219384,96.51277,100.491159,100,102.3,117.2,120.6,122.2,125.2,127.4
Rice,....Cavite,38.399319,42.784163,49.100681,47.759685,52.123244,57.088123,59.003831,58.492976,59.168795,61.52086,61.488931,62.196679,63.872925,64.958493,80.576841,89.436994,94.795658,97.860792,100,104.1,112.1,113.5,112.7,113.6,117.7
Rice,....Laguna,35.62673,44.207197,52.105575,49.051008,52.535587,52.654211,54.008501,53.311586,53.024911,54.646105,54.364373,57.038355,59.316924,61.803084,77.85686,86.724002,95.284698,100.726572,100,105,116.2,119.1,117.2,119.3,127
Rice,....Quezon,38.116883,44.020563,53.295455,52.202381,54.664502,57.251082,56.888528,57.348485,58.27381,58.739177,58.971861,59.967532,64.929654,67.75974,83.982684,91.715368,93.804113,98.116883,100,104.4,116.3,111.2,110.3,113.7,119
Rice,....Rizal,37.652853,41.949728,50.215127,56.493433,59.137228,59.935462,59.975091,62.284873,62.930254,63.009511,63.519022,65.551404,67.940444,69.701087,88.547328,98.109149,98.460145,99.201766,100,102.7,116.9,119.1,118.3,120.8,125.2
Rice,..Region IV-B (MIMAROPA),37.264785,43.447581,50.750448,52.010529,54.138665,52.777778,54.620296,58.187724,59.3694,58.988575,58.467742,63.636873,67.198701,70.637321,85.248656,90.949821,95.194892,98.342294,100,103.5,114.1,114.7,116,117.6,124.3
Rice,....Marinduque,43.152596,47.034207,55.792091,55.543426,58.77608,58.770015,56.671519,61.444687,60.164968,61.578117,61.626638,68.225376,72.768074,75.127365,88.179282,90.653809,99.005337,104.184862,100,104.5,119.2,115.4,113.6,115.8,126.3
Rice,....Mindoro Occidental,36.211729,42.79323,50.010781,50.075464,51.719491,51.600906,55.826865,58.818456,59.675507,59.664726,58.67831,61.901682,64.688443,68.677232,81.338939,91.752911,98.873437,101.374515,100,102.2,112.7,114.2,114.4,111.1,117.7
Rice,....Mindoro Oriental,36.828143,39.740484,49.757785,49.803922,52.681661,52.733564,53.304498,57.906574,58.529412,58.84083,59.896194,64.867359,69.198385,74.815456,92.410611,94.256055,96.27451,96.626298,100,102.8,112.6,110.4,111,115.8,125.1
Rice,....Palawan,37.784471,48.767291,51.913208,55.817715,57.128514,52.035921,54.534806,58.366801,61.362115,59.186747,56.593039,64.335118,66.923249,69.366354,83.718206,90.902499,94.522535,97.506693,100,105.8,117.2,118.9,123,123.7,128.5
Rice,....Romblon,35.083811,38.674942,48.493529,49.114152,51.368555,52.763633,55.002122,55.707617,55.866752,56.460853,57.468704,59.086569,63.648419,64.25313,76.294292,82.537662,86.834288,96.626353,100,98.5,105,112,110.1,113.4,116.3
Rice,..Region V (Bicol Region),41.441897,46.145201,53.062486,51.438526,52.466846,53.781749,55.956395,57.490447,57.91751,58.771634,59.68757,63.345696,67.425264,70.555181,84.193077,94.111036,96.617217,100.286581,100,104.9,118.5,118.2,114,114,124.8
Rice,....Albay,38.181923,43.215442,53.727462,51.144244,51.675913,53.282478,55.253121,58.287101,58.489367,59.379334,61.818077,66.23902,69.353907,74.237171,88.274387,93.57374,94.203652,100.566343,100,102.9,115.6,115.4,113.3,115.8,125.5
Rice,....Camarines Norte,36.832413,41.656435,50.179046,47.795171,49.381011,48.818293,50.327399,51.683037,52.88009,53.816247,54.153878,57.192552,61.382239,63.372212,81.911193,92.710252,100.808267,102.619194,100,105.4,114.9,110.2,106,102.9,116.9
Rice,....Camarines Sur,46.538908,49.581882,52.915215,51.341463,52.375145,55.127758,57.009292,59.616725,59.367015,59.970964,60.679443,64.465738,69.692218,70.423926,83.780488,97.456446,97.86295,99.326365,100,106.8,121,123,118,116.6,127.5
Rice,....Catanduanes,36.861862,44.653582,51.603389,49.072287,52.05384,52.708065,60.258473,57.008795,57.888245,55.979193,56.300944,61.872587,64.333977,65.669241,84.132347,96.181896,96.471471,98.332261,100,103.5,118.4,116.3,110.9,108.8,119.4
Rice,....Masbate,39.598033,47.22044,54.591619,54.051743,55.003207,54.222792,56.200556,54.559547,56.270045,57.873637,59.028223,61.396194,64.132991,65.453282,82.007697,89.298696,94.0774,99.12337,100,101.9,115.5,116.9,115.1,117.1,127.8
Rice,....Sorsogon,41.874423,45.533241,53.716528,53.306787,53.964681,55.528624,57.554247,59.816482,59.845337,61.35157,60.901431,64.352493,69.269391,79.536011,83.512235,92.867036,96.889428,102.562327,100,106.9,123.5,119,111.2,111,121
Rice,..Region VI (Western Visayas),42.58738,47.073657,54.322074,55.295567,57.224959,58.216045,59.547267,60.526624,61.699507,62.315271,62.456017,69.123856,70.39057,72.273047,86.247947,92.945109,94.745484,97.085386,100,102.3,111.1,113.6,113.2,113.6,120.8
Rice,....Aklan,33.813611,37.400368,46.122011,47.29205,48.29859,46.678929,48.896383,50.393419,53.969957,53.969957,56.693235,62.609851,61.317188,65.527284,77.932761,87.890865,89.903944,97.961373,100,101.8,111.8,113.3,114,113.9,123.2
Rice,....Antique,43.314567,50.205255,57.922824,56.098991,57.453671,55.494957,58.603096,58.755571,61.218625,61.523575,61.206897,70.378841,70.378841,74.712644,87.168661,95.619282,98.809524,94.610603,100,104.4,111.8,110.3,108,108.2,120.7
Rice,....Capiz,34.363994,43.251502,51.610731,53.946551,53.066087,51.828258,51.123886,53.842967,54.516263,55.930184,54.930599,60.601823,62.140046,65.02486,83.245287,92.469443,94.908846,98.109592,100,102.9,108.2,112.2,111.5,111.5,119.4
Rice,....Iloilo,37.997159,44.318182,50.130208,51.331676,53.533381,58.889678,61.310369,61.257102,61.76018,62.689394,61.712831,70.401278,71.022727,72.200521,84.736032,88.381866,91.40625,94.276752,100,101.9,112.1,112.8,111.5,111.5,115.8
Rice,....Negros Occidental,51.087772,52.075519,59.596149,60.515129,63.665916,63.328332,63.828457,65.153788,65.985246,66.635409,67.67942,72.555639,75.043761,75.925231,90.235059,97.130533,97.386847,99.112278,100,102.3,111.1,115.2,115.8,116.6,124.6
Rice,....Guimaras,.,.,.,.,.,.,62.1122,61.056683,64.299044,59.913693,58.286681,69.03429,69.990669,72.358293,83.706555,88.296011,90.920224,96.35526,100,99.5,108.6,114.3,114.3,114.8,120.2
Rice,..Region VII (Central Visayas),47.19086,54.375,63.219086,62.352151,64.670699,65.342742,65.141129,65.826613,67.903226,70.322581,71.780914,76.612903,80.63172,81.686828,91.706989,87.318548,91.323925,95.826613,100,104,114.3,112.6,113.2,113.7,118.9
Rice,....Bohol,49.912049,56.933451,60.041044,60.510114,66.278218,65.743184,67.311639,66.600704,70.72706,73.079742,75.791557,84.725887,87.965406,87.445031,92.458223,90.354735,92.223688,95.360598,100,109,119.5,111.7,112.7,116.4,123.1
Rice,....Cebu,40.952918,46.46882,55.384423,55.027548,56.116955,57.400451,59.779614,61.207112,61.84573,65.721262,66.798147,69.916103,75.125219,78.130478,90.395692,87.321563,89.243676,89.663161,100,103.4,112.4,112.3,112.6,111.8,116.5
Rice,....Negros Oriental,57.192623,68.531421,84.993169,81.079235,81.338798,82.308743,73.456284,74.282787,76.885246,76.106557,76.687158,79.644809,81.960383,80.771858,93.169399,82.465847,94.480874,110.327869,100,101.1,115.1,114.2,115.1,116.9,122.2
Rice,....Siquijor,53.154649,58.246363,71.560721,70.548703,73.632195,73.86148,77.221695,79.814991,79.83871,82.044592,82.890576,88.488299,94.908286,95.44592,97.311828,94.275775,94.481341,98.450348,100,104.8,118.3,116.9,116.4,119.4,127.4
Rice,..Region VIII (Eastern Visayas),35.551983,40.503751,48.199357,47.550911,49.683816,49.748124,50.878885,53.161844,54.03537,54.303323,55.980707,61.055734,64.340836,65.953912,80.85209,91.457663,93.381565,99.614148,100,104.7,117.6,115.6,114.2,117.2,125.2
Rice,....Eastern Samar,41.216716,44.871795,55.984961,55.929487,58.173077,61.729536,62.88215,65.440089,64.293639,65.051775,66.660503,71.44354,73.958333,74.223373,83.980523,89.053254,92.344675,98.366617,100,103.5,116.8,112.8,110.4,109.2,114.4
Rice,....Leyte,34.119034,40.424278,47.033982,46.444706,48.315655,47.991554,49.84286,51.085248,52.175408,51.816932,51.998625,54.483402,58.93734,61.530151,78.825378,88.931448,87.895305,97.750933,100,105.9,119,118.4,118.7,121,128.7
Rice,....Northern Samar,33.725725,38.514233,45.37776,43.96116,45.590583,45.204842,47.639,50.578611,50.532056,53.012769,64.604948,83.592711,80.007981,80.653099,94.985368,100.28598,103.950519,106.278265,100,103.5,118.3,110.3,102.8,111.6,124.3
Rice,....Western Samar,39.416019,42.157815,51.268351,51.354706,53.670121,53.313903,54.884499,57.064983,57.502159,58.743523,58.592401,61.809154,64.756045,65.608808,78.276123,94.905009,97.905872,98.898964,100,106.4,117.6,120.8,118,119.1,125.6
Rice,....Southern Leyte,32.248398,34.764414,43.728043,41.790659,45.381277,45.872081,43.495557,49.318041,53.311635,51.921885,52.020045,55.951643,62.011779,63.008886,75.278983,88.38603,100.118826,104.60839,100,96.7,104.3,105.7,112.2,111.2,116.1
Rice,....Biliran,.,.,.,.,.,.,47.277889,51.965041,51.670007,51.870407,53.957916,60.82721,66.800267,67.262302,81.72456,94.14941,96.292585,97.155422,100,104.7,117.1,114.9,115.6,118.9,126
Rice,..Region IX (Zamboanga Peninsula),40.135542,47.044428,56.093122,55.685241,57.843876,60.786898,61.320281,61.464608,61.991717,62.19252,66.522339,72.013052,75.313755,78.852912,96.128263,97.558986,94.220633,96.623996,100,103.4,113.5,116.9,115.9,115.3,123.5
Rice,....Zamboanga Del Norte,40.031153,45.346573,56.587487,56.963915,60.10514,65.011682,65.946262,63.765576,66.134476,65.777518,68.211319,74.740395,77.88811,79.854621,102.368899,106.405763,96.346054,99.720924,100,105.1,116.5,123.1,119.2,119.1,129.3
Rice,....Zamboanga Del Sur,40.997981,48.719404,57.002271,56.251577,58.043149,60.175372,60.553873,61.708302,61.449659,61.910169,67.120868,72.2811,75.706535,80.393641,94.846076,94.290941,93.445622,95.767096,100,102.7,112.5,114.2,113.8,112.5,119.6
Rice,....Zamboanga Sibugay,.,.,.,.,.,.,.,.,.,.,.,.,73.970661,78.07569,93.743836,95.167653,94.34788,95.999753,100,102.8,112.1,115.1,117.7,119.1,127.7
Rice,....City of Isabela,.,.,.,.,.,.,.,.,.,.,.,.,66.137566,67.162698,84.650573,85.411155,86.474868,88.525132,100,101.8,109.8,114.2,110.6,107.4,112.7
Rice,..Region X (Northern Mindanao),37.024353,41.922157,49.853229,49.09763,50.701239,50.184823,52.457056,52.332029,54.729289,56.648184,59.828224,63.584475,65.242444,68.145249,82.142857,90.541422,95.009785,98.581213,100,102.9,111.5,111.5,111.3,111.9,116.6
Rice,....Bukidnon,37.565617,41.415136,49.289151,48.802493,49.770341,49.808618,52.504374,51.449038,54.822835,57.332677,61.05643,65.671479,65.633202,67.73294,81.064086,90.616798,97.320647,100.814742,100,101.7,106.5,106.4,106,105.6,110
Rice,....Camiguin,32.984637,36.13301,44.385486,43.551647,46.204771,47.882555,48.377805,50.904589,53.689105,53.58298,55.39721,57.807762,60.647867,62.775419,75.485143,89.50374,97.832019,100.146553,100,102,113,113.1,112.1,114,117
Rice,....Lanao Del Norte,36.609687,42.817226,49.57265,50.09314,52.602455,50.865659,52.827087,52.558624,52.755862,56.623932,60.218058,63.636862,65.740741,70.014245,86.587771,93.096647,96.975674,98.937103,100,100.6,105.3,101.7,104.5,107.3,113.3
Rice,....Misamis Occidental,34.489051,42.102595,48.428629,46.350365,47.739254,46.360503,48.149838,50.354826,52.818329,53.943633,55.672141,59.311638,60.837388,64.573195,79.871249,92.234388,90.728913,94.591444,100,106.7,115.6,113.7,114.4,115.2,121.5
Rice,....Misamis Oriental,39.538762,42.68461,53.387394,52.260179,54.192547,54.267311,56.832298,55.825857,58.431102,58.477111,61.916264,64.774557,69.018864,71.417069,83.137796,86.484932,92.621348,97.768576,100,103.9,118.3,121.6,119.4,119.2,122.8
Rice,..Region XI (Davao Region),38.937151,41.966967,48.552124,48.766624,49.737237,49.265337,50.627413,51.866152,54.129129,54.204204,58.006221,62.6287,64.355427,66.741742,81.606607,89.634277,93.656156,99.688975,100,101.7,107.3,110,110.8,111.5,117.1
Rice,....Davao Del Norte,40.814513,42.837725,47.840862,47.344207,47.97156,46.920744,48.285236,50.637808,53.251777,53.189042,57.078628,61.28189,62.745713,65.757005,80.348181,88.953367,94.897532,103.957549,100,101.3,108.9,113.3,112.3,113.1,116.9
Rice,....Davao Del Sur,37.605135,41.555998,50.724878,51.770695,53.486056,53.513723,54.742143,54.288402,56.136565,56.202966,58.720673,63.650952,66.395529,67.889553,81.623506,91.196326,94.068172,96.596946,100,102.2,108,111.1,113.2,113.6,120.8
Rice,....Davao Oriental,35.533769,39.923747,47.124183,48.099129,48.997821,49.373638,50.833333,51.459695,53.316993,53.75817,59.063181,64.324619,65.359477,67.325708,81.29085,88.74183,91.601307,95.85512,100,100.6,103.1,105.7,105.5,106,112.9
Rice,....Compostela Valley,.,.,.,.,.,.,.,.,.,.,.,.,63.147096,66.166877,83.164983,89.45181,93.644781,101.636153,100,101.2,105.7,104.6,104.3,105.6,106.9
Rice,..Region XII (SOCCSKSARGEN),38.372472,42.759295,50.440313,50.896934,52.843009,51.88628,52.859317,52.745162,54.946728,55.849098,59.311807,63.356164,65.237008,68.514895,80.218526,85.93716,91.193738,97.091759,100,102.4,112.7,108.8,110.4,110.6,119.7
Rice,....North Cotabato,35.99209,43.094924,52.252252,52.307185,53.268512,52.796089,54.339706,53.208086,54.295759,55.702044,59.283674,64.150736,65.925071,68.430015,79.592397,84.448473,90.864645,95.484509,100,106.3,116.8,111.8,112.7,112.1,122.1
Rice,....South Cotabato,42.255373,46.336305,53.61797,54.635345,56.252858,54.663923,55.081161,55.961363,58.413352,59.487883,62.197074,66.666667,68.587106,72.433699,82.916095,87.437128,93.501372,99.725652,100,100.7,110.6,107.2,110.3,111.6,120.6
Rice,....Sultan Kudarat,37.620661,39.587184,45.050318,45.692134,48.885808,49.163072,49.614911,50.107825,53.609571,53.589033,57.373177,60.47443,61.614295,65.706511,79.36948,84.483467,89.145615,97.581639,100,99.3,107.1,103.8,106.6,107.9,114.7
Rice,....Saranggani,.,.,.,.,.,.,51.483365,51.499258,53.893833,55.054037,58.794236,63.021827,63.578089,65.750159,77.765416,90.914389,95.051918,98.627887,100,103.2,113.8,113.8,114.2,114.9,123.8
Rice,....City of Cotabato,38.280388,39.956982,51.080962,50.126848,54.279726,49.933819,51.957865,51.334657,53.171189,53.794397,57.572248,59.287448,66.181337,70.587911,81.629164,84.188176,85.533863,91.992058,100,101.6,115.9,110.7,108.9,105.5,116.5
Rice,..Region XIII (Caraga),37.681677,43.423874,51.066238,50.589707,52.442221,53.734811,56.010245,55.15249,58.94091,59.488921,63.962354,69.353109,71.485585,73.01644,83.488206,88.146295,90.624255,96.098404,100,104.2,114.6,116.8,116.1,117.2,123.8
Rice,....Agusan Del Norte,42.32716,46.253086,53.765432,54.240741,56.308642,56.080247,57.95679,57.098765,59.666667,62.438272,64.302469,69.611111,74.067901,74.648148,90.104938,97.469136,94.635802,103.166667,100,101.4,108.6,111.1,110.8,112.4,118.3
Rice,....Agusan Del Sur,42.534581,50.92894,58.102794,57.729862,60.075943,59.899647,64.700298,64.02224,68.57879,66.992135,72.674261,78.993762,81.387307,82.119609,83.346894,87.238948,90.947925,98.101437,100,105.3,114.2,117.5,118,117.7,122.9
Rice,....Surigao Del Norte,35.069444,38.855287,48.202285,46.975806,48.807124,50.112007,50.044803,49.826389,55.045923,57.571685,60.674283,65.972222,67.1931,66.425851,77.128136,80.93078,85.450269,91.151434,100,104.4,116.3,116.5,114.9,116.8,128
Rice,....Surigao Del Sur,33.268817,38.897849,45.553763,45.22043,46.564516,49.876344,51.887097,50.354839,52.698925,52.607527,58.311828,62.849462,64.516129,69.231183,86.172043,91.123656,92.973118,95.327957,100,105.8,120.2,122.7,121.1,122.5,126.9
Rice,....Dinagat Island,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,104.4,116.3,116.6,114.9,116.2,128.8
Rice,..Autonomous Region in Muslim Mindanao (ARMM),33.631332,37.744785,45.375692,46.541081,47.520221,49.930822,51.952959,52.995956,53.363133,53.182205,56.800766,60.621541,63.867603,64.516816,80.379949,86.462324,90.895062,96.583653,100,101.9,107.4,110.9,114.7,120.2,127.8
Rice,....Basilan,33.570437,36.010872,43.037243,43.927828,45.356234,47.015961,55.985427,58.032616,60.027759,62.283137,65.666204,68.829517,69.413602,71.217904,84.622947,87.028684,90.076336,97.102706,100,98.1,102.3,106.4,109.7,113.7,120.8
Rice,....Lanao Del Sur,39.638418,42.677966,49.717514,53.214689,54.248588,58.20904,57.384181,56.881356,55.915254,55.118644,58.610169,62.887006,67.830508,68.497175,82.564972,82.576271,94.316384,97.536723,100,102.6,106.9,108.9,112.7,117.7,122.7
Rice,....Maguindanao,27.26771,31.336544,39.960867,40.046157,41.019466,41.014449,41.922537,41.982741,43.001204,43.92936,50.918122,58.804937,60.204696,67.198475,78.386514,85.224764,85.666265,94.797311,100,101.7,108.9,115,118.2,124.1,130.5
Rice,....Sulu,31.873479,39.000406,45.316302,44.794201,45.838402,49.163625,54.131184,57.735199,58.941606,57.360097,55.859692,56.072587,60.817113,55.803933,81.39193,95.422749,94.094688,99.508313,100,101.3,107.3,109,112.7,119.9,127.8
Rice,....Tawi-Tawi,31.182796,35.293255,46.808407,46.021505,46.11437,47.492669,46.319648,48.172043,47.878788,46.911046,54.731183,56.73998,58.636364,56.006843,70.640274,83.890518,84.545455,90.654936,100,104.8,109,112.2,118.9,121.9,139.1
Corn,PHILIPPINES,33.227781,38.442052,44.912392,45.213215,46.474562,46.384843,50.248047,50.812751,51.493561,52.079375,57.225037,60.259658,63.331222,67.157484,83.602491,88.452607,87.555415,94.326578,100,105.5,110.6,110.6,110.5,108.8,119.5
Corn,..National Capital Region (NCR),35.844143,39.504717,43.15055,44.36419,47.263168,53.056211,53.483687,54.95283,49.159788,51.066234,54.215802,58.205582,58.977005,65.531643,76.641116,83.991745,102.766313,97.164898,100,103.7,108.9,121.7,143.3,154.7,166.8
Corn,..Cordillera Administrative Region (CAR),37.496965,40.859432,52.069677,52.57344,55.189366,59.213401,59.085943,61.192037,62.393785,64.9126,64.827628,69.974508,72.845351,75.127458,91.423889,96.540422,97.608643,99.939306,100,102.4,112,115.4,126.3,130.5,149.9
Corn,....Abra,41.763378,52.796583,59.493875,61.129916,72.549968,84.655061,84.767892,85.952611,88.007737,90.610896,92.577369,93.181818,96.550613,96.969697,93.254352,92.940039,95.140232,96.921341,100,102.9,103.3,100.9,97,95.8,103.9
Corn,....Benguet,45.18028,51.526858,62.490802,56.555065,58.91587,56.561197,58.799362,63.950208,66.850625,67.003924,66.746382,70.903851,73.583517,75.423105,100.429237,107.781457,105.451312,106.469218,100,96.7,104.7,109.7,122.7,127.1,149.3
Corn,....Ifugao,17.640573,17.640573,33.03473,36.489342,38.924109,44.285189,44.845645,44.101433,44.101433,40.499816,37.118706,49.614112,55.126792,59.950386,81.068541,86.232084,93.288313,96.848585,100,104,108.6,109.5,110.3,116.5,126.7
Corn,....Kalinga,43.637145,43.966753,53.453712,60.970192,61.973345,67.239897,60.189166,59.68759,59.357982,75.902837,83.813414,85.389797,86.142161,87.904844,94.518487,96.044712,99.018343,96.531958,100,145,187.5,187.5,202,216.7,250.8
Corn,....Mt. Province,39.457615,41.205699,48.922414,52.873563,55.298132,72.3659,71.719349,74.20977,74.401341,74.353448,72.749042,71.791188,71.880987,75.377155,81.47749,90.792625,85.213123,92.163554,100,106.7,109.7,110.5,114.2,113.4,115.4
